#,Name,ID,Rating,Fed,Rd 1,Rd 2,Rd 3,Rd 4,Rd 5,Rd 6,Rd 7,Rd 8,Rd 9,Total
38,FM Donald Johnson,16126281,2318,USA,W88 (b),L16 (w),W58 (b),W73 (w),L11 (b),W89 (w),L21 (b),D29 (w),D33 (b),5.0
39,FM Rose Atwell,16303021,2251,USA,W13 (b),L33 (w),W106 (b),L22 (w),D77 (w),W66 (b),L31 (w),W89 (b),D53 (w),5.0
40,CM Joseph Cheng-yue Wan,14023940,2254,USA,L16 (b),W88 (w),W83 (b),D67 (w),D35 (b),L12 (w),D89 (b),D52 (w),W76 (b),5.0
41,FM Avi Harrison Kaplan,15263943,2322,USA,D44 (w),L77 (b),W108 (w),D89 (b),D71 (w),W100 (b),W62 (w),L15 (b),D42 (w),5.0
42,IM Oleksii Bilych,32007544,2460,UKR,L50 (b),D85 (w),D52 (b),D55 (w),W79 (b),W68 (w),L22 (b),W63 (w),D41 (b),5.0
43,Nicholas Ladan,15092641,2209,USA,L7 (b),W105 (w),D53 (w),L34 (b),D81 (w),D83 (b),W90 (w),D67 (b),W65 (w),5.0
44,Anshul P Shetty,15752957,2112,USA,D41 (b),D35 (w),L30 (w),L80 (b),L82 (w),W109 (b),W95 (w),W86 (b),W70 (w),5.0
45,Daniel Yang,16464806,2213,USA,H---,D99 (w),L35 (b),W88 (w),L15 (b),D56 (b),D83 (w),W92 (b),W69 (w),5.0
46,FM Aryan Gutla,15649846,2299,USA,W105 (b),L7 (w),W57 (b),X107,D10 (w),L6 (w),D14 (b),L35 (w),D47 (b),4.5
47,Daniel Girsh,14833734,2190,USA,D8 (b),D15 (w),D51 (w),D49 (b),D26 (w),D53 (b),W64 (w),L27 (b),D46 (w),4.5
48,Siddharth Singh,17205696,2280,USA,W96 (b),L11 (w),W69 (b),W33 (w),L8 (b),D28 (w),D61 (w),L26 (b),D52 (b),4.5
49,IM Liordis Quesada Vera,30750062,2302,CUB,W78 (b),D6 (w),L18 (b),D47 (w),D73 (b),W77 (w),D28 (b),L14 (w),D57 (b),4.5
50,Sullivan Mac Mcconnell,14696346,2216,USA,W42 (w),D12 (w),L8 (b),L54 (b),W75 (w),L27 (b),W101 (w),L33 (w),W81 (b),4.5
51,Deepak Aaron,12877422,2306,USA,W90 (b),L21 (w),D47 (b),W97 (w),D28 (b),W54 (b),L15 (w),D20 (w),U---,4.5
52,Matthew Wilber,12888473,2147,USA,D35 (b),L18 (w),D42 (w),D27 (b),L66 (w),W102 (b),W80 (w),D40 (b),D48 (w),4.5
53,FM Gabriel Nicholas Petesch,12737698,2329,USA,W69 (b),L93 (w),D43 (b),W68 (w),L20 (b),D47 (w),D60 (b),D57 (w),D39 (b),4.5
54,GM Karen Movsziszian,New,2421,ARM,D68 (b),L71 (w),W103 (b),W50 (w),D62 (b),L51 (w),D63 (b),W60 (w),L20 (b),4.5
